class,feature,importance
rec.sport.hockey,emb_dim_40,0.9979713108610196
rec.sport.hockey,emb_dim_87,0.929305243731894
rec.sport.hockey,emb_dim_80,0.8750732281273359
rec.sport.hockey,emb_dim_6,0.8054323369603226
rec.sport.hockey,emb_dim_69,0.7550055428798195
rec.sport.hockey,emb_dim_28,0.7501593342552556
sci.crypt,emb_dim_80,1.6072402832928432
sci.crypt,emb_dim_16,1.0690450727633023
sci.crypt,emb_dim_11,1.0029611167530703
sci.crypt,emb_dim_68,0.9926411986278151
sci.crypt,emb_dim_22,0.9034656872434687
sci.crypt,emb_dim_99,0.8522129205466954
sci.crypt,emb_dim_86,0.8015788963646148
sci.crypt,emb_dim_30,0.7643795146569148
sci.crypt,emb_dim_91,0.7208344849509348
sci.crypt,emb_dim_79,0.7125489803442002
sci.electronics,emb_dim_86,1.0675538384185719
sci.electronics,emb_dim_18,1.026589910489371
sci.electronics,emb_dim_58,0.9603952854422829
sci.electronics,emb_dim_72,0.9463916506538109
sci.electronics,emb_dim_98,0.8983729048921939
sci.electronics,emb_dim_63,0.8397349051107632
sci.electronics,emb_dim_91,0.8195868534076531
sci.electronics,emb_dim_76,0.6201227841715077
sci.electronics,emb_dim_9,0.5970741783371135
sci.electronics,emb_dim_51,0.5882627696729098
sci.med,emb_dim_25,1.645833461433998
sci.med,emb_dim_73,1.569919298354823
sci.med,emb_dim_95,1.1628740916314009
sci.med,emb_dim_18,0.9661827816550271
sci.med,emb_dim_62,0.9306749390409262
sci.med,emb_dim_68,0.8889669733695096
sci.med,emb_dim_26,0.8610477464419544
sci.med,emb_dim_37,0.8189596629442972
sci.med,emb_dim_50,0.779954538132642
sci.med,emb_dim_83,0.7638034975802249
sci.space,emb_dim_17,1.2031576925329044
sci.space,emb_dim_9,1.052097695791657
sci.space,emb_dim_47,1.0229653045125389
sci.space,emb_dim_49,1.0050459828885845
sci.space,emb_dim_27,0.9264900976165233
sci.space,emb_dim_58,0.8345736871689792
sci.space,emb_dim_86,0.7084154793077329
sci.space,emb_dim_63,0.6619607008194247
sci.space,emb_dim_3,0.639245297939598
sci.space,emb_dim_62,0.6132804863594108
soc.religion.christian,emb_dim_93,1.0267059981650783
soc.religion.christian,emb_dim_42,0.8864464983796754
soc.religion.christian,emb_dim_81,0.8835118426269407
soc.religion.christian,emb_dim_3,0.8476997346676237
soc.religion.christian,emb_dim_5,0.7709561510009426
soc.religion.christian,emb_dim_0,0.7485981413162227
soc.religion.christian,emb_dim_19,0.742845450977807
soc.religion.christian,emb_dim_83,0.6407931362756553
soc.religion.christian,emb_dim_41,0.6227320951391421
soc.religion.christian,emb_dim_82,0.6161792571314529
talk.politics.guns,emb_dim_39,1.0323385108080039
talk.politics.guns,emb_dim_62,0.9128056100721955
talk.politics.guns,emb_dim_30,0.8818315762992082
talk.politics.guns,emb_dim_55,0.8123233640850257
talk.politics.guns,emb_dim_53,0.7466033628133846
talk.politics.guns,emb_dim_20,0.7181356082188037
talk.politics.guns,emb_dim_5,0.6837169592802248
talk.politics.guns,emb_dim_36,0.5930968519533892
talk.politics.guns,emb_dim_87,0.5573996312281863
talk.politics.guns,emb_dim_69,0.4618703505934386
talk.politics.mideast,emb_dim_9,1.13956211312785
talk.politics.mideast,emb_dim_28,1.0630229662935262
talk.politics.mideast,emb_dim_44,0.9082766047586198
talk.politics.mideast,emb_dim_55,0.8512465876007663
talk.politics.mideast,emb_dim_75,0.797831869805339
talk.politics.mideast,emb_dim_97,0.7937053073283744
talk.politics.mideast,emb_dim_53,0.7799475783475792
talk.politics.mideast,emb_dim_99,0.7748167510092505
